"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
0.256211208802924,-0.33979307116364,0.209,0.164,1,"HMGXB3",0,"NS"
0.256566665847714,0.04298835868558,0.251,0.21,1,"CEP250",0,"NS"
0.256726704858617,-0.0329023765417844,0.174,0.136,1,"POLR3C",0,"NS"
0.256952478271102,0.138033398156691,0.232,0.191,1,"GOSR2",0,"NS"
0.256999273616271,0.0740982357441962,0.143,0.111,1,"AKTIP",0,"NS"
0.257236692022706,-0.0176381916347812,0.11,0.083,1,"PRDM10",0,"NS"
0.257382944269305,-0.464240198288328,0.192,0.216,1,"SMIM7",0,"NS"
0.257755259767039,0.129448420513602,0.148,0.117,1,"NOC3L",0,"NS"
0.257965415759684,0.0201467746908655,0.263,0.219,1,"NPTN",0,"NS"
0.258804959657484,0.0680207682085989,0.15,0.117,1,"TNFRSF1A",0,"NS"
0.258887450765634,-0.466521776405586,0.155,0.176,1,"MPLKIP",0,"NS"
0.258997834423065,-0.156249416129029,0.847,0.63,1,"RPP30",0,"NS"
0.25963733466755,-0.0325358585607536,0.385,0.321,1,"SMEK2",0,"NS"
0.25969254697277,0.331258787291498,0.106,0.08,1,"CACNB1",0,"NS"
0.259702611422037,0.0294762539753022,0.181,0.145,1,"CDK16",0,"NS"
0.26011958320615,-0.196779997423844,0.174,0.136,1,"LOC100294145",0,"NS"
0.260203133313413,-0.130753843901661,0.148,0.114,1,"IP6K1",0,"NS"
0.260261045046672,-0.229694094516579,0.465,0.481,1,"TSPYL2",0,"NS"
0.260618663174076,0.0558676170773934,0.282,0.235,1,"VAMP1",0,"NS"
0.261717844251463,-0.655031418218306,0.124,0.093,1,"PHF2",0,"NS"
0.261825851199627,0.00368927812863218,0.103,0.077,1,"RNPEP",0,"NS"
0.261899334877834,0.0422969718176291,0.129,0.099,1,"GALK1",0,"NS"
0.261965964846347,-0.038080057667739,0.157,0.12,1,"AGTRAP",0,"NS"
0.26234271650918,0.246617096746196,0.127,0.099,1,"FAM76B",0,"NS"
0.262346848919933,0.00825386613626583,0.197,0.157,1,"PFDN2",0,"NS"
0.262736679320528,-0.778084071947595,0.108,0.13,1,"BLMH",0,"NS"
0.262771406908742,-0.392101917107474,0.106,0.077,1,"MSH5",0,"NS"
0.263187425229647,-0.0992601148130403,0.279,0.225,1,"ANO9",0,"NS"
0.263702626492523,-0.372422015997001,0.279,0.299,1,"KDELR2",0,"NS"
0.264088456781483,-0.236598037868749,0.204,0.16,1,"NDEL1",0,"NS"
0.264236279737473,-0.111332512377362,0.913,0.71,1,"HIP1",0,"NS"
0.264478715034566,-0.0470152662273641,0.394,0.327,1,"MBTPS1",0,"NS"
0.264618081554144,-0.217344755680906,0.425,0.407,1,"UQCRH",0,"NS"
0.264723273092337,-0.810486331296509,0.131,0.154,1,"CHPF2",0,"NS"
0.264767764433032,-0.0316838837404139,0.11,0.083,1,"C19orf55",0,"NS"
0.265181080035431,-0.180501384624866,0.223,0.179,1,"GNL1",0,"NS"
0.265331604954755,0.103270830996188,0.11,0.083,1,"PCYT1A",0,"NS"
0.265671557400205,-0.191768955247432,0.157,0.123,1,"ORAI1",0,"NS"
0.266152383905141,-0.0641729840294751,0.157,0.123,1,"PRMT3",0,"NS"
0.266315060163545,0.120894119593537,0.183,0.148,1,"LTA4H",0,"NS"
0.26637852072939,-0.126369014138225,0.162,0.127,1,"EDARADD",0,"NS"
0.266383560427042,-0.107206061892199,0.585,0.481,1,"ASH1L",0,"NS"
0.26688881102804,0.164442603357561,0.174,0.142,1,"UNC45A",0,"NS"
0.266993975965398,0.033939819446501,0.962,0.861,1,"CTSB",0,"NS"
0.267284081856706,-0.209837943446162,0.364,0.296,1,"ANKRD17",0,"NS"
0.267463966570949,0.249584716912884,0.146,0.117,1,"PURA",0,"NS"
0.267505009189388,-0.636270024136559,0.129,0.151,1,"MRPL47",0,"NS"
0.26776474756635,-0.487038661623907,0.181,0.139,1,"ST3GAL5",0,"NS"
0.267908257517354,0.0633259360686518,0.272,0.231,1,"CHD9",0,"NS"
0.26796328398187,-0.145974832966186,0.596,0.593,1,"BUB3",0,"NS"
0.268004362833565,-0.257463961232048,0.185,0.145,1,"INTS6",0,"NS"
0.268730536943672,0.187632848107998,0.174,0.142,1,"CEP164",0,"NS"
0.268845357502514,0.162716574092267,0.164,0.133,1,"TMEM194B",0,"NS"
0.268851250334347,0.129307872563548,0.286,0.244,1,"METAP2",0,"NS"
0.269015067162687,0.0158349121601029,0.171,0.136,1,"NPC2",0,"NS"
0.269123790811903,-0.132475660822437,0.117,0.09,1,"APPL2",0,"NS"
0.269323332723969,-0.154969817357738,0.228,0.182,1,"FLI1",0,"NS"
0.269385728204756,-0.532793523266302,0.122,0.145,1,"TMEM101",0,"NS"
