"","MEblue","MEtan","MEmagenta","MEpurple","MElightcyan","MEgreen","MEgreenyellow","MEbrown","MEcyan","MEmidnightblue","MEyellow","MEblack","MEred","MEsalmon","MEpink","MEturquoise","MEgrey"
"Melanoma.30",-0.0509433298528858,-0.112181453910754,-0.0717604356197722,0.0948169433807571,0.095398847732362,0.205998903974672,0.0926800570024159,-0.0395104589694723,0.00571157508181701,-0.0111605134652473,0.0119233790492578,0.0922874796723387,0.0116001876096458,-0.159816697271947,-0.0575683401779964,-0.0835545689729786,0.140268787713496
"Melanoma.31",-0.0300819272205224,-0.0426442836855698,-0.071394638693108,0.0270569205370812,0.058434335938959,0.140661209245951,0.0996558035069156,0.0867109629926556,0.0662498794425589,-0.0453251275040704,-0.0622616536490814,0.02146891576501,-0.0370622411444901,-0.0937552345045058,-0.0545297336290536,-0.0562584865942742,0.063594355887819
"Melanoma.32",0.00411344065495099,-0.0494025019515058,0.000592633133342696,0.10716059366918,-0.0263915325187338,0.0190973872767147,0.0235095095532505,-0.0402201941497263,0.0151112452024076,0.0287629308826862,-0.00747640045075105,0.0673456903855807,0.00627613238725127,-0.109843933590352,-0.0452934467714231,-0.104505253230386,0.115230815873649
"Melanoma.33",-0.0205394501173374,-0.0369688521660204,-0.0985502298573172,0.0720353501895436,-0.0627444194943955,0.0350668782924504,0.0659434213206369,0.0996364805416534,0.104326966085804,-0.135254233540342,-0.0719936636867428,0.0152841672227482,-0.113163445739061,-0.0800389339349402,-0.107637802282893,0.000185453324977843,0.116483470754281
"Melanoma.34",-0.0636634356032707,-0.0390000519650864,-0.0944516559379033,0.00917111029340058,0.000557724164249417,0.1304609664382,0.124881025580742,0.142016048839821,0.0576088047287368,-0.0445997219695884,-0.0774506987890597,0.0491136448084104,0.023548624682655,-0.049786805508278,0.0161373097139143,-0.0033319945705381,0.071406171605849
"Melanoma.35",0.062285650569656,0.0375156473805342,0.0439680296792751,0.0512595312485426,0.154023853680726,-0.0254968392771621,-0.0386137773915068,-0.0443406951655204,-0.00708190713766212,-0.00558698103432338,0.0287079005521974,-0.0231686448561217,-0.053757680200979,-0.0483592886420574,-0.0430033100616092,-0.0366222224585661,-0.0398726488848494
"Melanoma.36",0.0459510091590106,0.0382886833406016,0.0255580752887127,-0.0102025586531146,-0.0588879828026323,-0.0166958438045893,-0.013406163735953,-0.025200904946675,0.0153570657346007,0.0302336661197656,-0.00635312606706994,-0.0200770359611997,0.00309609810700979,-0.0589173539494032,-0.000294712091317095,-0.00661259712318603,-0.0131974524746176
"Melanoma.37",0.0792848455664288,0.060237742796788,0.0592123805551699,0.0372854852022363,0.0832107407074198,-0.0234974501213398,-0.0477234413391001,-0.0447977800208874,-0.0236107036753022,-0.0237943904232369,0.0110333807513977,-0.051685524303624,-0.071827631127261,0.00807042072341773,-0.0554100700429772,-0.0245859861773624,-0.0502456091752874
"Melanoma.38",0.0488952341152957,0.0638273068554274,0.0459837629071146,-0.0714238575765462,-0.0746154311657008,-0.00244668588647284,-0.0305995094613799,-0.0215505204835256,-0.0122455401535768,0.029782591155182,-0.0257971573495311,-0.0724605451505089,0.0137623230391748,0.0105317479798531,0.0573476337566579,0.0157723982605907,-0.0371227954663566
"Melanoma.39",0.0218619939912458,0.0162581790014285,0.0597350963999756,-0.00232427347439232,0.00847723617197077,-0.0520245615311186,-0.0528390929079392,-0.0467634746806777,-0.0282383756167979,0.0773778252981304,0.0763725926595078,0.0203130592176051,0.0590615672369665,-0.0311758740413257,0.0201852592156364,-0.044212915112905,-0.0821463092733481
"Melanoma.40",0.0627057193608263,0.0897028038092455,0.0469383942899786,-0.143331233218019,-0.0523421233349133,-0.00369891499175815,-0.0444704671591659,-0.00592139119809184,-0.0369824646258735,0.0665407497933442,-0.0317705173063419,-0.119821444713961,0.0200968170970756,0.0286610780476206,0.108288619352442,0.0731289914499151,-0.0219755543147702
