"Gene","Module","GS","GS.Pvalue","MM","MM.Pvalue"
"JUP","brown",-0.3784135624215,5.29272546924202e-09,0.811858239614107,1.4863178024384e-53
"POU2F3","brown",-0.489570055235609,7.64963360909259e-15,0.811759971919831,1.56537873852626e-53
"KRT14","brown",-0.389454653084762,1.71649772941356e-09,0.809977934862594,3.98572721905992e-53
"ALDH3A1","brown",-0.395711195694734,8.89980351018773e-10,0.809864855370047,4.22783990489416e-53
"MAOA","brown",-0.64796255173064,6.10663837689853e-28,0.809720663177752,4.55775752643157e-53
"ALDH3B2","brown",-0.41340299244389,1.28777245691405e-10,0.809080552706974,6.35742718081853e-53
"CRABP2","brown",-0.343971063948002,1.36878644629858e-07,0.808437311869601,8.87093034824035e-53
"SPINT1","brown",-0.514848689562289,1.70830148470377e-16,0.807601792205054,1.36486997297973e-52
"ETS2","brown",-0.517416745697863,1.1404067788969e-16,0.80721493125042,1.66502946111003e-52
"MFAP4","brown",-0.426142355020227,2.97975864610603e-11,0.806990485246309,1.86818109818779e-52
"ARG1","brown",-0.363997856100252,2.16423298773642e-08,0.806896364004552,1.96049465439166e-52
"RORA","brown",-0.465019360581662,2.30162527310261e-13,0.806185481822031,2.81968802029519e-52
"IRF6","brown",-0.574636091293287,5.40079087923266e-21,0.805578014873054,3.84200610662819e-52
"DSG3","brown",-0.327957883291259,5.46669566408534e-07,0.80502656516853,5.08294165735567e-52
"CD24","brown",-0.410224164007498,1.83795996799125e-10,0.801225187847448,3.41674947533401e-51
"SULT2B1","brown",-0.343812448373478,1.38822662801824e-07,0.800915252757921,3.98372124053698e-51
