"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLAC8",0.496129642158446,7.33103799547346,1.91203551239101,0.0571396764699603,0.115171470318722,-5.1216202719425
"CD226",0.285769826904223,5.69649370264602,1.91150085221451,0.0572086634455481,0.115292699021098,-5.12262086139995
"ZNF471",0.4175314425351,4.84348815647279,1.91127604593579,0.0572376909226143,0.115333372267033,-5.12304149409747
"LSM5",0.263224014088216,8.50915986528697,1.91079064917569,0.0573004084699679,0.115441907608145,-5.12394955164515
"HOXB2",0.490481211253769,8.61727429104703,1.91010020782049,0.0573897187031258,0.115598368790728,-5.12524081244792
"MAP2K6",0.20153686304926,6.84103425199838,1.91005322513863,0.0573958002570116,0.115598368790728,-5.12532866286873
"NMNAT2",-0.388696192612043,5.62719095780004,-1.9097512937847,0.0574348958687397,0.115659244360231,-5.1258931783607
"INE1",0.322211084853024,6.65776755374142,1.90964403989844,0.0574487890135661,0.115669357620119,-5.12609368818611
"CASP3",0.261145675417337,7.77475150709959,1.90923319451039,0.0575020339484659,0.115758687765022,-5.12686165776281
"NEUROD6",-0.467226552747332,6.13789114181287,-1.90863375031925,0.0575797950944739,0.115897336868917,-5.12798187729241
"RAB35",-0.159978541197523,8.34761154604101,-1.90854692967879,0.0575910649416444,0.115902129306081,-5.12814409632428
"CSDC2",0.407747073534754,5.23422160479681,1.90830963949461,0.057621876068911,0.115946241059032,-5.12858742201635
"MTAP",-0.184883743430871,6.41081752688802,-1.90757193804471,0.0577177516060338,0.116121241041672,-5.12996531780913
"SETD1B",-0.23274682422884,9.32562349405153,-1.9075030923015,0.0577267059651931,0.116121338950965,-5.13009388316937
"ITGB1",-0.221694563247846,9.32173148824788,-1.90684786391883,0.0578119858449757,0.116259596672638,-5.13131725870109
"MAPK8",0.299313735652765,5.99129327780324,1.90683800518369,0.057813269792575,0.116259596672638,-5.13133566281801
"SLC27A5",0.430815186212005,6.57608185996614,1.90671465283125,0.057829336543458,0.116273973660779,-5.13156592707926
"FCN1",0.37665093606741,7.32578850095064,1.90661442921019,0.0578423935077672,0.116282295551615,-5.13175300586611
"SLC1A4",0.434388713916928,9.24287740319066,1.9063827741481,0.0578725825784297,0.116325050753838,-5.13218537995781
"NECAB3",0.202893438102774,8.06038700398007,1.90598301771507,0.0579247094649844,0.116400330742169,-5.13293138834637
"CLUHP3",0.321767926417096,7.57522566024077,1.90595864299509,0.057927889116185,0.116400330742169,-5.13297687050975
