"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"RPS27A","magenta",-0.0500246154600643,0.145549832473876,-0.0720420221753287,0.161062414092157,-0.189976686343282,0.0448296646691284,0.314563129930647,-0.0809206407730135,0.479539602897372,0.534824732251008,0.610474019865902,-0.207638328153911,-0.6316551405721,-0.427482895629701,-0.289213633195182,0.683450287465103,0.14183942709352,0.177732171809585,-0.00728138070171165
"RPS13","magenta",-0.0392455369447666,0.242472710752491,-0.153322051459864,0.258825156656792,-0.0636243023687378,0.0931526541621959,0.141114429930735,-0.424937965412938,0.0456156724950233,0.0999938007993694,0.235156363199227,-0.260216253952983,-0.549502706118329,-0.313048858429962,-0.101799589507029,0.894838233174621,0.28918057155611,0.3982261618848,0.237194183011985
"FAU","magenta",-0.112571430987226,-0.0491241179549405,-0.075781298003359,0.281286645121815,0.198046543154322,0.147617413647265,-0.238332495199821,-0.359796234594234,-0.36269004431227,-0.358576283345009,-0.0836777600213843,-0.0489446138014168,0.036560628889507,-0.163579064568596,0.198788079874012,0.438982412914475,0.162062613152102,0.549649129228765,0.0376424998019896
"TARDBP","black",0.0547251431793611,0.0648315279760121,0.0803279228012273,-0.230373611231703,-0.123338265229981,-0.112250844025019,0.377601818378143,0.38429811716062,0.619532429137668,0.57526167712168,0.380521616726381,-0.048171213617121,-0.269330766632291,-0.0872186407473567,-0.275409991024803,-0.0483541731448213,-0.115253636902078,-0.284163158569594,-0.096297283716873
"CFL1","magenta",0.123392246128286,0.346522427017761,-0.285939367971861,0.0227419713352729,0.166742541221978,0.0671430067765649,0.21884970917423,-0.608622429180537,-0.151288644664743,-0.0624497506988907,0.00315431156467376,-0.273665474901633,-0.443958433719213,-0.0405113286429921,0.114192873606099,0.796872276936266,0.519439836980749,0.449908873981501,0.471359847807359
"RPL18","turquoise",-0.166338792767403,-0.142542205033348,0.0600747389045275,0.310423677836144,-0.022030007786823,0.0760354865442554,-0.370220878016365,0.171474740967153,-0.309472407474961,-0.359837154897596,-0.187871179559054,0.199290748785208,0.586572795477576,0.0511709035104736,0.255289333719361,0.164059803044066,-0.0826356832257385,0.233512098895046,-0.195090606011875
"EIF3F","magenta",-0.103340555463366,-0.209877836262397,-0.213849504361054,0.234988324267173,-0.254254470891534,-0.108280463811357,-0.0179062881022598,-0.171366402409517,-0.3055923968867,-0.118198242140164,-0.00158195141251931,0.0386526300749422,-0.0142767863139754,-0.102866462240282,0.214588917122419,0.358075719534985,0.140317992275069,0.526567113422756,-0.199125670644864
"RPS5","turquoise",-0.155586934771874,-0.127539351597234,0.00686585949413292,0.256132474883743,-0.0964218575555282,0.01098115899392,-0.306744071056815,0.217613258881771,-0.324243806783233,-0.320670123488939,-0.205715685012902,0.210419374413008,0.575080305938502,0.0935396094588814,0.275494262426667,0.165351908945188,-0.0869965625718129,0.232904317225764,-0.226381083283507
"RPL27","magenta",-0.0303523792330125,0.117214127874041,-0.179080516280417,0.179486695206333,0.0175638637286761,0.115874884058502,0.214039214631231,-0.433458338785497,0.147365396199396,0.200032869107128,0.338958865968755,-0.254686768270177,-0.636038022012064,-0.354721993115207,-0.110609044068492,0.818137147447543,0.30102859132595,0.406939477671476,0.209236723051927
"RPL34","magenta",-0.0675072516817117,0.107975915488335,0.0451274620127488,0.150291114705001,-0.0476341698961948,0.154855371700427,0.256945203346418,0.0155807888521073,0.668881372070634,0.594024971149797,0.715349934497501,-0.208049846229382,-0.644428885556,-0.532138947633324,-0.405811720473446,0.589241785953713,0.0609042793361919,0.0669895881189429,-0.00833723499731377
