"Gene","Module","GS","MM.MEbrown","MM.MEpink","MM.MEblack","MM.MEgreenyellow","MM.MEpurple","MM.MEsalmon","MM.MEmagenta","MM.MEcyan","MM.MEred","MM.MEturquoise","MM.MEyellow","MM.MEgreen","MM.MEblue","MM.MEtan","MM.MEgrey"
"SART1","blue",-0.123084930534135,-0.248981520137997,-0.188213596418163,-0.318955403375565,-0.245889493355607,0.0423421454420259,-0.0561457789508988,0.388814056326034,0.176948437969167,-0.058677784503568,-0.3360237150919,-0.12390232603882,0.0407497699536696,0.385936958388886,0.166566214873651,0.456211822658158
"ILF2","red",-0.0215426345725029,0.545649346236257,0.052798449635266,0.437793616596752,0.307035134586136,0.212824929641388,0.0836021145774719,0.317157786583047,0.456090469580905,0.810971283162801,-0.457064753533123,-0.413638045636983,-0.155110032329743,-0.324314605120455,-0.577046910072729,-0.281457780548424
"SPAG7","grey",0.163395448872006,-0.00523268704180143,0.184359236096614,-0.165848157595268,-0.341355809264691,0.0449778595459285,0.271349790425169,0.0299416457303828,-0.0151616522603128,-0.149941510425879,-0.080133124709571,0.204614923784152,0.123158073033579,-0.00575506695519458,0.035513380065406,0.359223609533351
"ZPR1","black",0.13087427318426,0.246158339270039,0.0253298658305007,0.433437623734422,0.285133110381327,0.220075051046114,-0.0142664435529835,0.184217812842699,0.0591350722410156,0.328106255844456,-0.104161520555487,-0.119980693595182,0.0305007487319269,-0.282979760100803,-0.297090776859019,0.0188347811091841
"TAF10","grey",0.221465116355289,-0.307055019447369,-0.411929152270155,-0.109980524085369,0.0705207412178093,0.394013766938225,0.0121097405141386,0.460762157322247,0.00115327747350777,0.0272733102973787,-0.0963847047627956,-0.314026264603926,0.165856572984,0.130885585651476,0.186458830332259,0.455586719680885
"C1D","red",0.0745398660061868,0.708530438453403,0.2074602680711,0.529560443321712,0.352704302057513,0.0998328185320108,-0.0296179607626615,0.216320642440917,0.561776877054481,0.831041962294045,-0.507542573543435,-0.383584259809402,0.041586231101277,-0.381855253532427,-0.622358008711501,-0.529783241485659
"NONO","brown",0.152179107699156,0.590365643804291,0.302282685988241,0.473306022821454,0.273125428409225,0.315568992500982,0.393716309519487,0.145319446680151,0.209316876774636,0.581434029589306,-0.340655967965175,-0.088777212688396,-0.232466862820841,-0.497666342650817,-0.622633780633567,-0.0336196160957584
"SNRNP200","pink",0.137560867903499,0.319190409860923,0.616349005816226,0.310016740523449,0.114122775491219,0.0373287252612842,0.30355268648662,-0.373273107698855,-0.311141326487823,-0.176315052606564,0.0882949266147228,0.603478720437411,-0.217917058391317,-0.351362530213517,-0.311068607161255,0.108639563748108
"RHOA","red",-0.0244518628871053,0.308678333388354,-0.276045378095836,0.128633812832401,0.148477421474099,0.231068611174847,0.00406126247149531,0.586474892197925,0.714179448882871,0.822167690840418,-0.554172925621011,-0.727153606251664,0.102524245850491,-0.0453076315623515,-0.334140011872664,-0.266138225568626
"RNPS1","grey",-0.0132858924734032,-0.01549733277321,-0.0856263920839266,-0.0412667732649427,0.0330251607039179,0.245014468556015,0.113066922492322,0.338123356463448,0.149970593272008,0.174032783725905,-0.272597232473533,-0.14952499989765,-0.0871206501412012,0.0740048595436178,-0.0683984336823575,0.215373236564096
"RPS24","yellow",-0.0564419839135377,0.367647491030772,0.57181228658102,0.154283404197329,-0.169384644401073,-0.43986148320915,-0.0545425353796753,-0.461360486967881,-0.0028705314375514,-0.0933798723471625,0.0376316278209708,0.464669209392348,-0.0663002227156289,-0.151925423262823,-0.212909138204253,-0.132428504923445
"RPL30","brown",0.051936068827083,0.489116415088224,0.481345160723206,0.349320267713831,-0.0397148825434745,-0.184725865884869,0.137378314470235,-0.320484729870147,0.00113879745065435,0.142864429851787,-0.0253266043796421,0.232662789816378,-0.0183641574790421,-0.404894045251158,-0.350228787489245,-0.132717277240212
"NPM1","brown",0.245080572525907,0.637352930744988,0.560050858304653,0.638810209954119,0.372882238480867,0.168231077385715,0.255445226322749,-0.186954758756403,-0.0742976537850827,0.320691838189545,-0.0968635872188539,0.272796959282438,-0.324343576465408,-0.535117620510168,-0.542811787863599,-0.0445419916702137
"HSP90AB1","brown",0.15718170823171,0.418031350506003,0.111819762664231,0.306333755513614,0.345538263090407,0.454201005563377,0.47745556289302,0.252724477644072,0.118392498898583,0.563386219752609,-0.233713404521005,-0.161815359859288,-0.387491634474107,-0.412410393744731,-0.480782903093539,0.0675262310121703
"ARF1","purple",0.0832786416308438,0.0489980954103734,-0.305815305341605,0.032962527358353,0.334396715467756,0.574410838926712,0.232912539721443,0.573931149065855,0.245527038169925,0.472648354652634,-0.366603632618831,-0.437162671907922,-0.0976722404918178,-0.0833646833708988,-0.18672856214454,0.188736610086309
